split,query_id,user_query,query_audio_category,user_query_len_chars,user_query_len_words
train,113__dark_tense__tpl_1,подбери тревожный кинематографичный трек,dark_tense,40,4
train,113__dark_tense__tpl_25,подбери музыку для ночной мрачной сцены,dark_tense,39,6
train,113__dreamy_atmospheric__tpl_10,подбери трек для эстетичного видео,dreamy_atmospheric,34,5
train,113__dreamy_atmospheric__tpl_12,хочу ambient cinematic mood,dreamy_atmospheric,27,4
train,113__dreamy_atmospheric__tpl_8,нужна музыка с ощущением глубины,dreamy_atmospheric,32,5
train,113__energetic_electronic__tpl_2,нужна музыка для активного видео,energetic_electronic,32,5
train,113__energetic_electronic__tpl_6,хочу электронную музыку для движения,energetic_electronic,36,5
train,113__energetic_electronic__tpl_29,нужна музыка для видео с движением,energetic_electronic,34,6
train,113__happy_upbeat__tpl_18,хочу трек с легкой праздничной атмосферой,happy_upbeat,41,6
train,113__happy_upbeat__tpl_28,подбери трек для happy mood,happy_upbeat,27,5
train,113__happy_upbeat__tpl_22,подбери музыку для радостного настроения,happy_upbeat,40,5
train,113__romantic_warm__tpl_10,подбери мягкую музыку для пары,romantic_warm,30,5
train,113__romantic_warm__tpl_6,хочу теплую акустическую музыку,romantic_warm,31,4
train,113__romantic_warm__tpl_20,нужен теплый музыкальный фон,romantic_warm,28,4
train,113__sad_melancholic__tpl_15,хочу melancholic background music,sad_melancholic,33,4
train,113__sad_melancholic__tpl_12,хочу трек с ностальгическим настроением,sad_melancholic,39,5
train,113__sad_melancholic__tpl_28,подбери музыку для спокойной грусти,sad_melancholic,35,5
train,116__aggressive_intense__tpl_29,нужен энергичный агрессивный звук,aggressive_intense,33,4
train,116__aggressive_intense__tpl_20,нужна сильная и напористая музыка,aggressive_intense,33,5
train,116__aggressive_intense__tpl_14,нужна жесткая музыка для резкого монтажа,aggressive_intense,40,6
train,116__calm_relaxing__tpl_4,подбери спокойный инструментальный фон,calm_relaxing,38,4
train,116__calm_relaxing__tpl_8,нужна музыка для спокойной атмосферы,calm_relaxing,36,5
train,116__calm_relaxing__tpl_7,подбери relaxing music,calm_relaxing,22,3
train,116__dark_tense__tpl_23,нужен драматичный темный саундтрек,dark_tense,34,4
train,116__dark_tense__tpl_17,нужна музыка для драматического момента,dark_tense,39,5
train,116__dark_tense__tpl_8,нужна музыка с ощущением опасности,dark_tense,34,5
train,116__dreamy_atmospheric__tpl_23,нужен фон с ощущением пространства,dreamy_atmospheric,34,5
train,116__dreamy_atmospheric__tpl_18,хочу музыку для созерцательной сцены,dreamy_atmospheric,36,5
train,116__dreamy_atmospheric__tpl_13,подбери музыку для видео с природой,dreamy_atmospheric,35,6
train,116__energetic_electronic__tpl_28,подбери электронный трек с драйвом,energetic_electronic,34,5
train,116__energetic_electronic__tpl_18,хочу что-то мощное и электронное,energetic_electronic,32,6
train,116__energetic_electronic__tpl_12,хочу музыку с быстрым темпом,energetic_electronic,28,5
train,116__happy_upbeat__tpl_11,нужна музыка для счастливого момента,happy_upbeat,36,5
train,116__happy_upbeat__tpl_7,подбери позитивную музыку для приятного видео,happy_upbeat,45,6
train,116__happy_upbeat__tpl_4,подбери музыку с позитивным настроением,happy_upbeat,39,5
train,116__romantic_warm__tpl_16,подбери музыку для sentimental mood,romantic_warm,35,5
train,116__romantic_warm__tpl_15,хочу приятную теплую музыку,romantic_warm,27,4
train,116__romantic_warm__tpl_2,нужна музыка для нежного видео,romantic_warm,30,5
train,116__sad_melancholic__tpl_24,хочу музыку для сентиментального видео,sad_melancholic,38,5
train,116__sad_melancholic__tpl_1,подбери печальный эмоциональный трек,sad_melancholic,36,4
train,116__sad_melancholic__tpl_27,хочу трек для melancholic mood,sad_melancholic,30,5
train,202__aggressive_intense__tpl_3,хочу heavy rock настроение,aggressive_intense,26,4
train,202__aggressive_intense__tpl_4,подбери агрессивный саундтрек,aggressive_intense,29,3
train,202__aggressive_intense__tpl_20,нужна сильная и напористая музыка,aggressive_intense,33,5
train,202__calm_relaxing__tpl_5,нужна музыка для медленного видео,calm_relaxing,33,5
train,202__calm_relaxing__tpl_25,подбери трек для уютного видео,calm_relaxing,30,5
train,202__calm_relaxing__tpl_21,хочу спокойный chill трек,calm_relaxing,25,4
train,202__dark_tense__tpl_13,подбери музыку для mystery mood,dark_tense,31,5
train,202__dark_tense__tpl_19,подбери напряженный trailer-like трек,dark_tense,37,5
train,202__dark_tense__tpl_2,нужна драматичная музыка,dark_tense,24,3
train,202__dreamy_atmospheric__tpl_12,хочу ambient cinematic mood,dreamy_atmospheric,27,4
train,202__dreamy_atmospheric__tpl_19,подбери deep atmospheric трек,dreamy_atmospheric,29,4
train,202__dreamy_atmospheric__tpl_14,нужна мечтательная спокойная музыка,dreamy_atmospheric,35,4
train,202__energetic_electronic__tpl_16,подбери энергичный dance трек,energetic_electronic,29,4
train,202__energetic_electronic__tpl_8,нужна энергичная музыка для action видео,energetic_electronic,40,6
train,202__energetic_electronic__tpl_17,"нужна музыка, которая добавляет движение",energetic_electronic,40,5
train,202__happy_upbeat__tpl_27,"хочу что-то легкое, доброе и позитивное",happy_upbeat,39,7
train,202__happy_upbeat__tpl_0,хочу веселую позитивную музыку,happy_upbeat,30,4
train,202__happy_upbeat__tpl_21,хочу приятный бодрый поп-трек,happy_upbeat,29,5
train,202__romantic_warm__tpl_23,нужна музыка с мягким романтическим вайбом,romantic_warm,42,6
train,202__romantic_warm__tpl_3,хочу warm romantic mood,romantic_warm,23,4
train,202__romantic_warm__tpl_21,хочу музыку для красивого личного момента,romantic_warm,41,6
train,202__sad_melancholic__tpl_28,подбери музыку для спокойной грусти,sad_melancholic,35,5
train,202__sad_melancholic__tpl_17,нужна эмоциональная музыка без радости,sad_melancholic,38,5
train,202__sad_melancholic__tpl_24,хочу музыку для сентиментального видео,sad_melancholic,38,5
train,204__aggressive_intense__tpl_8,нужен трек с агрессивным звучанием,aggressive_intense,34,5
train,204__aggressive_intense__tpl_24,хочу интенсивный фон без спокойствия,aggressive_intense,36,5
train,204__aggressive_intense__tpl_20,нужна сильная и напористая музыка,aggressive_intense,33,5
train,204__calm_relaxing__tpl_10,подбери музыку без напряжения,calm_relaxing,29,4
train,204__calm_relaxing__tpl_3,хочу ненавязчивую расслабленную музыку,calm_relaxing,38,4
train,204__calm_relaxing__tpl_9,хочу плавный фоновый трек,calm_relaxing,25,4
train,204__dark_tense__tpl_13,подбери музыку для mystery mood,dark_tense,31,5
train,204__dark_tense__tpl_5,нужен темный напряженный фон,dark_tense,28,4
train,204__dark_tense__tpl_14,нужен мрачный фон без веселья,dark_tense,29,5
train,204__dreamy_atmospheric__tpl_0,хочу атмосферную мечтательную музыку,dreamy_atmospheric,36,4
train,204__dreamy_atmospheric__tpl_23,нужен фон с ощущением пространства,dreamy_atmospheric,34,5
train,204__dreamy_atmospheric__tpl_28,подбери трек для dream mood,dreamy_atmospheric,27,5
train,204__energetic_electronic__tpl_23,нужна динамичная современная музыка,energetic_electronic,35,4
train,204__energetic_electronic__tpl_8,нужна энергичная музыка для action видео,energetic_electronic,40,6
train,204__energetic_electronic__tpl_16,подбери энергичный dance трек,energetic_electronic,29,4
train,204__happy_upbeat__tpl_24,хочу веселую музыку для яркого видео,happy_upbeat,36,6
train,204__happy_upbeat__tpl_5,нужен веселый трек без мрачной атмосферы,happy_upbeat,40,6
train,204__happy_upbeat__tpl_16,подбери что-то радостное и ненавязчивое,happy_upbeat,39,6
train,204__romantic_warm__tpl_29,нужна нежная музыка без резкости,romantic_warm,32,5
train,204__romantic_warm__tpl_3,хочу warm romantic mood,romantic_warm,23,4
train,204__romantic_warm__tpl_27,хочу теплую инструментальную музыку,romantic_warm,35,4
train,204__sad_melancholic__tpl_20,нужен трек для трогательной сцены,sad_melancholic,33,5
train,204__sad_melancholic__tpl_9,хочу спокойную грустную музыку,sad_melancholic,30,4
train,204__sad_melancholic__tpl_26,"нужна грустная, но мягкая музыка",sad_melancholic,32,5
train,209__aggressive_intense__tpl_20,нужна сильная и напористая музыка,aggressive_intense,33,5
train,209__aggressive_intense__tpl_16,подбери интенсивный роковый фон,aggressive_intense,31,4
train,209__aggressive_intense__tpl_19,подбери музыку для брутальной сцены,aggressive_intense,35,5
train,209__calm_relaxing__tpl_6,хочу мягкую и спокойную композицию,calm_relaxing,34,5
train,209__calm_relaxing__tpl_4,подбери спокойный инструментальный фон,calm_relaxing,38,4
train,209__calm_relaxing__tpl_11,нужна тихая и мягкая музыка,calm_relaxing,27,5
train,209__dark_tense__tpl_24,"хочу музыку, которая усиливает тревогу",dark_tense,38,5
train,209__dark_tense__tpl_5,нужен темный напряженный фон,dark_tense,28,4
train,209__dark_tense__tpl_17,нужна музыка для драматического момента,dark_tense,39,5
train,209__dreamy_atmospheric__tpl_24,хочу музыку для вдохновляющей атмосферы,dreamy_atmospheric,39,5
train,209__dreamy_atmospheric__tpl_29,нужна глубокая и мягкая атмосфера,dreamy_atmospheric,33,5
train,209__dreamy_atmospheric__tpl_16,подбери атмосферную instrumental музыку,dreamy_atmospheric,39,4
train,209__energetic_electronic__tpl_29,нужна музыка для видео с движением,energetic_electronic,34,6
train,209__energetic_electronic__tpl_0,хочу энергичную электронную музыку,energetic_electronic,34,4
train,209__energetic_electronic__tpl_19,подбери трек для активного городского видео,energetic_electronic,43,6
train,209__happy_upbeat__tpl_10,подбери яркий и дружелюбный трек,happy_upbeat,32,5
train,209__happy_upbeat__tpl_15,хочу солнечную и приятную музыку,happy_upbeat,32,5
train,209__happy_upbeat__tpl_0,хочу веселую позитивную музыку,happy_upbeat,30,4
train,209__romantic_warm__tpl_3,хочу warm romantic mood,romantic_warm,23,4
train,209__romantic_warm__tpl_29,нужна нежная музыка без резкости,romantic_warm,32,5
train,209__romantic_warm__tpl_11,нужна теплая спокойная композиция,romantic_warm,33,4
train,209__sad_melancholic__tpl_28,подбери музыку для спокойной грусти,sad_melancholic,35,5
train,209__sad_melancholic__tpl_26,"нужна грустная, но мягкая музыка",sad_melancholic,32,5
train,209__sad_melancholic__tpl_25,подбери печальный piano track,sad_melancholic,29,4
train,210__aggressive_intense__tpl_9,хочу что-то тяжелое и энергичное,aggressive_intense,32,6
train,210__aggressive_intense__tpl_7,подбери мощную музыку для action видео,aggressive_intense,38,6
train,210__aggressive_intense__tpl_1,подбери мощный агрессивный трек,aggressive_intense,31,4
train,210__calm_relaxing__tpl_7,подбери relaxing music,calm_relaxing,22,3
train,210__calm_relaxing__tpl_28,подбери спокойную музыку для монтажа,calm_relaxing,36,5
train,210__calm_relaxing__tpl_18,хочу трек без агрессии и драматизма,calm_relaxing,35,6
train,210__dark_tense__tpl_2,нужна драматичная музыка,dark_tense,24,3
train,210__dark_tense__tpl_23,нужен драматичный темный саундтрек,dark_tense,34,4
train,210__dark_tense__tpl_15,хочу музыку для страшной или тревожной сцены,dark_tense,44,7
train,210__dreamy_atmospheric__tpl_26,нужна музыка для эстетичного визуального контента,dreamy_atmospheric,49,6
train,210__dreamy_atmospheric__tpl_2,нужна глубокая атмосферная музыка,dreamy_atmospheric,33,4
train,210__dreamy_atmospheric__tpl_24,хочу музыку для вдохновляющей атмосферы,dreamy_atmospheric,39,5
train,210__energetic_electronic__tpl_17,"нужна музыка, которая добавляет движение",energetic_electronic,40,5
train,210__energetic_electronic__tpl_24,хочу трек для спортивной нарезки,energetic_electronic,32,5
train,210__energetic_electronic__tpl_4,подбери музыку с сильной энергией,energetic_electronic,33,5
train,210__happy_upbeat__tpl_4,подбери музыку с позитивным настроением,happy_upbeat,39,5
train,210__happy_upbeat__tpl_21,хочу приятный бодрый поп-трек,happy_upbeat,29,5
train,210__happy_upbeat__tpl_15,хочу солнечную и приятную музыку,happy_upbeat,32,5
train,210__romantic_warm__tpl_17,нужна мягкая эмоциональная музыка,romantic_warm,33,4
train,210__romantic_warm__tpl_5,нужен мягкий эмоциональный фон,romantic_warm,30,4
train,210__romantic_warm__tpl_8,нужна музыка для трогательного момента,romantic_warm,38,5
train,210__sad_melancholic__tpl_16,подбери трек для sadness mood,sad_melancholic,29,5
train,210__sad_melancholic__tpl_27,хочу трек для melancholic mood,sad_melancholic,30,5
train,210__sad_melancholic__tpl_19,подбери грустную музыку для видео,sad_melancholic,33,5
train,213__aggressive_intense__tpl_13,подбери трек с мощными гитарами,aggressive_intense,31,5
train,213__aggressive_intense__tpl_6,хочу интенсивный трек для динамики,aggressive_intense,34,5
train,213__aggressive_intense__tpl_29,нужен энергичный агрессивный звук,aggressive_intense,33,4
train,213__calm_relaxing__tpl_17,нужна спокойная акустическая музыка,calm_relaxing,35,4
train,213__calm_relaxing__tpl_24,хочу плавную спокойную музыку,calm_relaxing,29,4
train,213__calm_relaxing__tpl_23,нужен расслабленный музыкальный фон,calm_relaxing,35,4
train,213__dark_tense__tpl_22,подбери музыку для tense video,dark_tense,30,5
train,213__dark_tense__tpl_6,хочу музыку для тревожной сцены,dark_tense,31,5
train,213__dark_tense__tpl_9,хочу dark cinematic music,dark_tense,25,4
train,213__dreamy_atmospheric__tpl_12,хочу ambient cinematic mood,dreamy_atmospheric,27,4
train,213__dreamy_atmospheric__tpl_21,хочу dreamy ambient музыку,dreamy_atmospheric,26,4
train,213__dreamy_atmospheric__tpl_20,нужна музыка с мягкой кинематографичностью,dreamy_atmospheric,42,5
train,213__energetic_electronic__tpl_11,нужен трек с драйвом,energetic_electronic,20,4
train,213__energetic_electronic__tpl_14,нужна музыка для монтажа с быстрыми кадрами,energetic_electronic,43,7
train,213__energetic_electronic__tpl_28,подбери электронный трек с драйвом,energetic_electronic,34,5
train,213__happy_upbeat__tpl_16,подбери что-то радостное и ненавязчивое,happy_upbeat,39,6
train,213__happy_upbeat__tpl_14,нужен uplifting трек,happy_upbeat,20,3
train,213__happy_upbeat__tpl_3,хочу что-то светлое и жизнерадостное,happy_upbeat,36,6
train,213__romantic_warm__tpl_7,подбери романтичный instrumental трек,romantic_warm,37,4
train,213__romantic_warm__tpl_2,нужна музыка для нежного видео,romantic_warm,30,5
train,213__romantic_warm__tpl_10,подбери мягкую музыку для пары,romantic_warm,30,5
train,213__sad_melancholic__tpl_0,хочу грустную меланхоличную музыку,sad_melancholic,34,4
train,213__sad_melancholic__tpl_18,хочу медленный печальный саундтрек,sad_melancholic,34,4
train,213__sad_melancholic__tpl_17,нужна эмоциональная музыка без радости,sad_melancholic,38,5
train,214__aggressive_intense__tpl_7,подбери мощную музыку для action видео,aggressive_intense,38,6
train,214__aggressive_intense__tpl_18,хочу трек с тяжелой энергетикой,aggressive_intense,31,5
train,214__aggressive_intense__tpl_0,хочу жесткую интенсивную музыку,aggressive_intense,31,4
train,214__calm_relaxing__tpl_2,нужна спокойная музыка без резкой динамики,calm_relaxing,42,6
train,214__calm_relaxing__tpl_22,подбери музыку для тихой сцены,calm_relaxing,30,5
train,214__calm_relaxing__tpl_20,"нужна музыка, которая не отвлекает",calm_relaxing,34,5
train,214__dark_tense__tpl_1,подбери тревожный кинематографичный трек,dark_tense,40,4
train,214__dark_tense__tpl_7,подбери драматичный cinematic трек,dark_tense,34,4
train,214__dark_tense__tpl_2,нужна драматичная музыка,dark_tense,24,3
train,214__dreamy_atmospheric__tpl_28,подбери трек для dream mood,dreamy_atmospheric,27,5
train,214__dreamy_atmospheric__tpl_1,подбери ambient трек,dreamy_atmospheric,20,3
train,214__dreamy_atmospheric__tpl_27,хочу легкий ambient фон,dreamy_atmospheric,23,4
train,214__energetic_electronic__tpl_10,подбери что-то танцевальное и энергичное,energetic_electronic,40,6
train,214__energetic_electronic__tpl_2,нужна музыка для активного видео,energetic_electronic,32,5
train,214__energetic_electronic__tpl_16,подбери энергичный dance трек,energetic_electronic,29,4
train,214__happy_upbeat__tpl_7,подбери позитивную музыку для приятного видео,happy_upbeat,45,6
train,214__happy_upbeat__tpl_8,нужен трек с хорошим настроением,happy_upbeat,32,5
train,214__happy_upbeat__tpl_21,хочу приятный бодрый поп-трек,happy_upbeat,29,5
train,214__romantic_warm__tpl_15,хочу приятную теплую музыку,romantic_warm,27,4
train,214__romantic_warm__tpl_6,хочу теплую акустическую музыку,romantic_warm,31,4
train,214__romantic_warm__tpl_17,нужна мягкая эмоциональная музыка,romantic_warm,33,4
train,214__sad_melancholic__tpl_4,подбери melancholic soundtrack,sad_melancholic,30,3
train,214__sad_melancholic__tpl_23,нужен sad cinematic фон,sad_melancholic,23,4
train,214__sad_melancholic__tpl_29,нужна эмоциональная и медленная композиция,sad_melancholic,42,5
